PID;USUARIO;PR;NI;VIRT;RES;SHR;S;%CPU;%MEM;TEMPO+;COMANDO
901;gdm;20;0;244620;4660;4336;S;0,0;0,1;0:00.02;gvfs-mtp-volume
905;gdm;20;0;244824;4864;4700;S;0,0;0,1;0:00.00;gvfs-goa-volume
909;gdm;20;0;555136;14688;14276;S;0,0;0,2;0:00.07;goa-daemon
921;gdm;20;0;323936;5868;5868;S;0,0;0,1;0:00.20;goa-identity-se
923;gdm;20;0;247028;4816;4528;S;0,0;0,1;0:00.01;gvfs-gphoto2-vo
931;gdm;20;0;325672;7196;6840;S;0,0;0,1;0:00.26;gvfs-afc-volume
936;root;20;0;261132;7980;7124;S;0,0;0,1;0:00.26;upowerd
1025;gdm;20;0;5300;924;924;S;0,0;0,0;0:00.00;dbus-run-sessio
1026;gdm;20;0;7528;3700;3316;S;0,0;0,0;0:00.07;dbus-daemon
1027;gdm;20;0;566952;12160;11412;S;0,0;0,2;0:00.10;gnome-session-b
1030;gdm;20;0;305380;5248;5248;S;0,0;0,1;0:00.00;at-spi-bus-laun
1035;gdm;20;0;7116;3240;3172;S;0,0;0,0;0:00.00;dbus-daemon
1056;gdm;20;0;3848716;107520;56240;S;0,0;1,3;0:06.54;gnome-shell
1194;gdm;20;0;320064;6272;5660;S;0,0;0,1;0:00.04;ibus-daemon
1197;gdm;20;0;171720;5452;5452;S;0,0;0,1;0:00.00;ibus-memconf
1200;gdm;20;0;197448;14760;13624;S;0,0;0,2;0:00.02;ibus-x11
1205;gdm;20;0;245652;6108;5480;S;0,0;0,1;0:00.01;ibus-portal
1209;gdm;20;0;162784;5560;4920;S;0,0;0,1;0:00.00;at-spi2-registr
1216;gdm;20;0;244656;5816;5244;S;0,0;0,1;0:00.00;xdg-permission-
1225;gdm;20;0;2669032;17384;12520;S;0,0;0,2;0:00.05;gjs
1244;gdm;20;0;473868;7920;6768;S;0,0;0,1;0:00.02;gsd-sharing
1246;gdm;20;0;270872;14888;12872;S;0,0;0,2;0:00.02;gsd-wacom
1247;gdm;20;0;515144;17472;14800;S;0,0;0,2;0:00.11;gsd-color
1248;gdm;20;0;345100;16012;14028;S;0,0;0,2;0:00.02;gsd-keyboard
1249;gdm;20;0;257196;10144;8664;S;0,0;0,1;0:00.01;gsd-print-notif
1250;gdm;20;0;466068;5276;4684;S;0,0;0,1;0:00.01;gsd-rfkill
1251;gdm;20;0;324384;7892;6976;S;0,0;0,1;0:00.00;gsd-smartcard
1252;gdm;20;0;382840;13416;11476;S;0,0;0,2;0:00.01;gsd-datetime
1253;gdm;20;0;901016;18008;15240;S;0,0;0,2;0:00.06;gsd-media-keys
1254;gdm;20;0;244476;5384;4884;S;0,0;0,1;0:00.00;gsd-screensaver
1255;gdm;20;0;328572;8012;6992;S;0,0;0,1;0:00.00;gsd-sound
1256;gdm;20;0;318884;6072;5456;S;0,0;0,1;0:00.00;gsd-a11y-settin
1257;gdm;20;0;320956;6944;6148;S;0,0;0,1;0:00.17;gsd-housekeepin
1259;gdm;20;0;419716;16456;14176;S;0,0;0,2;0:00.06;gsd-power
1261;gdm;20;0;171840;6020;5416;S;0,0;0,1;0:00.00;ibus-engine-sim
1288;gdm;20;0;351156;13836;11948;S;0,0;0,2;0:00.01;gsd-printer
1337;colord;20;0;255412;9880;7816;S;0,0;0,1;0:00.18;colord
1365;root;20;0;323728;7752;6484;S;0,0;0,1;0:00.05;gdm-session-wor
